Jahr,Art,Bezirk,Deutschland,Schleswig-Holstein,Hamburg,Niedersachsen,Bremen,Nordrhein-Westfalen,Hessen,Rheinland-Pfalz,Baden-Württemberg,Bayern,Saarland,Brandenburg,Mecklenburg-Vorpommern,Sachsen,Sachsen-Anhalt,Thüringen
2001,Fortzug,Steglitz-Zehlendorf,6661,299,156,492,49,702,386,121,539,751,27,2794,103,108,81,53
2001,Fortzug,Tempelhof-Schöneberg,6703,237,209,608,72,831,398,156,641,823,20,2297,106,161,91,53
2001,Fortzug,Treptow-Köpenick,5093,144,70,190,24,293,127,79,316,371,3,2824,208,212,107,125
2001,Zuzug,Charlottenburg-Wilmersdorf,7448,277,391,701,108,1443,624,210,707,825,43,1207,251,355,213,93
2001,Zuzug,Friedrichshain-Kreuzberg,9049,237,446,838,147,1326,646,210,992,919,63,1699,441,545,327,213
2001,Zuzug,Lichtenberg,5541,91,90,246,39,407,121,71,247,244,23,2372,579,487,346,178
2001,Zuzug,Marzahn-Hellersdorf,4081,91,47,253,10,230,70,70,124,202,13,2006,381,253,222,109
2001,Zuzug,Mitte,10362,380,465,923,122,1819,703,257,1014,1030,69,1979,500,552,364,185
2001,Zuzug,Neukölln,5466,183,141,543,78,771,323,127,443,515,46,1533,210,284,168,101
2001,Zuzug,Pankow,11027,295,457,769,102,1417,609,213,853,911,56,3088,819,648,460,330
2001,Zuzug,Reinickendorf,3733,121,76,285,23,507,205,63,236,271,26,1505,136,119,112,48
2001,Zuzug,Spandau,4097,168,88,292,36,522,176,54,226,292,7,1745,152,159,125,55
2001,Zuzug,Steglitz-Zehlendorf,5856,235,184,497,50,1103,354,133,550,540,29,1516,191,221,163,90
2001,Zuzug,Tempelhof-Schöneberg,7736,216,309,2358,48,951,369,155,543,572,34,1505,173,234,177,92
2001,Zuzug,Treptow-Köpenick,5146,99,69,740,20,310,171,67,217,244,17,2200,300,349,214,129
2002,Fortzug,Charlottenburg-Wilmersdorf,6768,283,278,538,80,1002,516,180,688,774,52,1816,192,189,109,71
2002,Fortzug,Friedrichshain-Kreuzberg,6450,185,260,480,75,878,365,186,706,763,38,1741,249,252,155,117
2002,Fortzug,Lichtenberg,6895,120,128,339,28,470,231,83,446,461,9,3550,374,285,211,160
2002,Fortzug,Marzahn-Hellersdorf,6817,131,83,294,27,363,145,92,381,468,15,4076,277,217,150,98
2002,Fortzug,Mitte,8865,317,342,769,98,1196,571,218,861,1019,40,2448,287,358,212,129
2002,Fortzug,Neukölln,6303,228,159,563,51,773,287,152,634,771,38,2114,155,153,152,73
2002,Fortzug,Pankow,9802,229,311,478,67,752,392,130,739,787,39,4576,498,379,261,164
2002,Fortzug,Reinickendorf,4997,204,112,376,27,423,199,66,324,438,22,2558,94,69,57,28
2002,Fortzug,Spandau,4898,214,114,359,23,463,195,88,284,436,21,2379,102,119,77,24
2002,Fortzug,Steglitz-Zehlendorf,6738,250,189,520,53,753,353,136,623,725,25,2697,110,145,109,50
2002,Fortzug,Tempelhof-Schöneberg,6772,306,224,678,52,815,369,147,687,773,33,2272,114,139,101,62
2002,Fortzug,Treptow-Köpenick,5441,115,78,250,38,338,140,69,309,355,22,3075,228,238,103,83
2002,Zuzug,Charlottenburg-Wilmersdorf,7056,294,440,694,93,1300,491,179,657,781,57,1312,220,244,194,100
2002,Zuzug,Friedrichshain-Kreuzberg,9448,311,549,847,136,1408,609,215,1012,975,47,1789,463,514,339,234
2002,Zuzug,Lichtenberg,5879,132,104,290,24,381,165,80,240,286,12,2592,532,446,396,199
2002,Zuzug,Marzahn-Hellersdorf,4333,101,45,203,18,226,85,49,166,180,11,2258,314,294,257,126
2002,Zuzug,Mitte,10544,364,527,918,124,1731,648,271,1054,1195,70,2008,470,542,415,207
2002,Zuzug,Neukölln,5570,184,156,529,64,737,353,146,475,559,25,1554,185,263,226,114
2002,Zuzug,Pankow,11076,290,507,809,104,1275,611,173,859,899,61,3315,736,677,467,293
2002,Zuzug,Reinickendorf,3683,177,68,293,15,434,170,73,224,291,14,1586,108,93,81,56
2002,Zuzug,Spandau,4034,161,83,337,23,359,129,71,191,283,26,1833,196,141,147,54
2002,Zuzug,Steglitz-Zehlendorf,5536,258,181,486,56,884,303,101,523,490,33,1626,162,230,132,71
2002,Zuzug,Tempelhof-Schöneberg,7708,267,313,2288,62,864,361,131,549,651,30,1514,164,257,178,79
2002,Zuzug,Treptow-Köpenick,4829,116,85,481,18,340,141,62,180,233,16,2208,290,315,203,141
2003,Fortzug,Charlottenburg-Wilmersdorf,6633,238,309,641,92,966,450,129,664,786,26,1784,145,182,142,79
2003,Fortzug,Friedrichshain-Kreuzberg,6831,241,259,537,94,920,399,163,804,679,34,1741,256,380,207,117
2003,Fortzug,Lichtenberg,7189,174,180,348,37,484,220,98,367,430,21,3775,363,344,216,132
2003,Fortzug,Marzahn-Hellersdorf,7135,157,98,306,30,412,155,90,362,366,15,4242,310,243,221,128
2003,Fortzug,Mitte,8969,307,353,826,91,1268,491,220,882,998,61,2361,349,330,288,144
2003,Fortzug,Neukölln,6366,246,170,600,69,872,278,133,580,778,26,2084,154,175,142,59
2003,Fortzug,Pankow,10196,273,330,546,89,851,378,131,673,746,25,4738,535,414,276,191
2003,Fortzug,Reinickendorf,5102,178,118,429,31,432,202,110,358,447,18,2431,157,82,64,45
2003,Fortzug,Spandau,4881,245,116,397,21,401,183,86,304,397,8,2376,94,120,101,32
2003,Fortzug,Steglitz-Zehlendorf,6532,290,194,508,65,723,354,123,583,692,29,2535,96,164,111,65
2003,Fortzug,Tempelhof-Schöneberg,6660,251,287,570,71,838,374,135,606,746,24,2268,122,160,125,83
2003,Fortzug,Treptow-Köpenick,5581,128,101,285,26,381,133,67,313,368,11,3121,238,205,118,86
2003,Zuzug,Charlottenburg-Wilmersdorf,6669,255,307,654,84,1213,509,165,621,797,53,1312,220,204,189,86
2003,Zuzug,Friedrichshain-Kreuzberg,8902,299,398,819,153,1381,568,239,902,869,47,1663,483,529,331,221
2003,Zuzug,Lichtenberg,5640,96,65,314,21,342,183,69,246,310,11,2542,497,455,321,168
2003,Zuzug,Marzahn-Hellersdorf,4337,117,40,210,10,227,112,60,170,219,15,2218,305,253,270,111
2003,Zuzug,Mitte,9870,318,421,860,121,1599,571,230,976,1058,67,2034,479,479,425,232
2003,Zuzug,Neukölln,5115,160,124,445,60,706,293,129,441,554,21,1459,180,253,188,102
2003,Zuzug,Pankow,10094,305,403,681,141,1220,556,182,809,890,50,2916,642,617,426,256
2003,Zuzug,Reinickendorf,3516,135,72,249,32,392,156,73,239,323,6,1441,134,114,101,49
2003,Zuzug,Spandau,3783,128,83,284,35,359,145,78,236,245,6,1674,142,153,146,69
2003,Zuzug,Steglitz-Zehlendorf,5293,197,174,421,40,803,339,120,431,529,36,1629,143,187,165,79
2003,Zuzug,Tempelhof-Schöneberg,7140,196,229,2128,62,876,329,117,470,580,56,1474,147,209,175,92
2003,Zuzug,Treptow-Köpenick,4673,119,91,290,20,282,145,69,204,287,5,2286,293,289,176,117
2004,Fortzug,Charlottenburg-Wilmersdorf,6904,294,366,618,63,952,489,159,694,815,37,1876,166,182,122,71
2004,Fortzug,Friedrichshain-Kreuzberg,7155,252,371,564,71,949,422,203,744,673,44,1879,313,377,190,103
2004,Fortzug,Lichtenberg,6736,179,152,325,36,446,215,91,400,370,19,3529,339,274,215,146
2004,Fortzug,Marzahn-Hellersdorf,6706,164,144,301,44,379,148,85,313,367,31,3883,319,270,140,118
2004,Fortzug,Mitte,9110,315,428,704,100,1304,513,193,916,996,61,2434,355,407,237,147
2004,Fortzug,Neukölln,6268,265,208,554,52,761,271,162,558,687,43,2206,127,163,140,71
2004,Fortzug,Pankow,10401,275,351,501,91,962,416,154,644,672,44,4843,542,447,242,217
2004,Fortzug,Reinickendorf,5101,254,135,365,36,378,223,85,331,373,24,2571,108,94,78,46
2004,Fortzug,Spandau,4920,195,89,360,44,481,153,96,277,336,8,2527,113,110,81,50
2004,Fortzug,Steglitz-Zehlendorf,6715,287,189,540,53,683,348,150,460,616,34,2822,136,205,114,78
2004,Fortzug,Tempelhof-Schöneberg,6839,286,275,588,67,888,397,169,597,666,43,2335,127,201,128,72
2004,Fortzug,Treptow-Köpenick,5482,149,96,290,25,318,179,67,265,342,26,3050,240,231,119,85
2004,Zuzug,Charlottenburg-Wilmersdorf,6517,276,331,611,70,1038,489,146,590,778,36,1395,219,237,192,109
2004,Zuzug,Friedrichshain-Kreuzberg,8863,296,464,729,143,1348,573,214,871,854,52,1822,443,459,350,245
2004,Zuzug,Lichtenberg,5193,96,91,233,24,343,135,68,228,270,16,2327,514,367,304,177
2004,Zuzug,Marzahn-Hellersdorf,4297,86,49,182,18,199,88,61,148,225,13,2275,324,278,239,112
2004,Zuzug,Mitte,9426,350,423,787,105,1414,579,249,900,947,48,2051,447,508,372,246
2004,Zuzug,Neukölln,5002,167,163,497,57,681,279,128,407,514,33,1427,180,228,165,76
2004,Zuzug,Pankow,10002,293,438,696,86,1159,532,193,796,796,39,3035,654,606,393,286
2004,Zuzug,Reinickendorf,3394,137,78,236,14,374,149,55,199,313,13,1435,105,123,109,54
2004,Zuzug,Spandau,3613,123,74,289,24,348,126,69,187,285,16,1615,141,158,121,37
2004,Zuzug,Steglitz-Zehlendorf,5456,227,178,441,46,725,293,123,417,582,23,1772,155,223,171,80
2004,Zuzug,Tempelhof-Schöneberg,7100,206,213,2051,71,825,312,135,480,577,52,1521,171,225,172,89
2004,Zuzug,Treptow-Köpenick,4341,80,79,232,15,295,145,67,180,249,6,2158,238,293,197,107
2005,Fortzug,Charlottenburg-Wilmersdorf,6837,266,309,626,74,975,464,162,658,837,36,1839,166,205,146,74
2005,Fortzug,Friedrichshain-Kreuzberg,6925,220,366,505,64,879,443,179,765,779,55,1700,276,362,172,160
2005,Fortzug,Lichtenberg,6184,155,147,229,26,390,198,98,347,390,11,3226,360,265,237,105
2005,Fortzug,Marzahn-Hellersdorf,6134,148,106,249,22,368,137,101,345,331,12,3449,311,246,208,101
2005,Fortzug,Mitte,8658,319,439,672,69,1166,612,247,824,915,33,2318,308,361,212,163
2005,Fortzug,Neukölln,5842,185,202,513,45,624,285,135,479,641,34,2180,149,185,127,58
2005,Fortzug,Pankow,10061,226,378,536,85,847,491,179,703,798,36,4354,468,516,254,190
2005,Fortzug,Reinickendorf,5024,207,115,349,25,389,196,106,270,430,21,2578,106,93,92,47
2005,Fortzug,Spandau,4753,181,112,361,10,347,151,97,287,389,10,2452,111,115,96,34
2005,Fortzug,Steglitz-Zehlendorf,6470,253,163,408,62,708,328,159,512,642,32,2720,139,167,125,52
2005,Fortzug,Tempelhof-Schöneberg,6500,239,242,573,44,784,364,149,619,718,23,2301,150,137,92,65
2005,Fortzug,Treptow-Köpenick,5430,151,91,261,25,312,143,103,257,285,7,3109,220,234,139,93
2005,Zuzug,Charlottenburg-Wilmersdorf,6663,242,324,660,92,1078,435,150,612,773,39,1442,212,273,213,118
2005,Zuzug,Friedrichshain-Kreuzberg,9267,330,473,748,140,1253,666,226,994,897,69,1873,486,519,354,239
2005,Zuzug,Lichtenberg,5678,105,105,335,23,366,143,84,257,311,15,2438,514,474,348,160
2005,Zuzug,Marzahn-Hellersdorf,4474,85,67,231,24,265,102,71,209,216,10,2291,288,283,223,109
2005,Zuzug,Mitte,9664,300,421,907,103,1370,602,249,947,918,55,2147,470,559,380,236
2005,Zuzug,Neukölln,5026,155,174,473,62,633,289,118,461,596,22,1376,178,224,167,98
2005,Zuzug,Pankow,10307,270,507,678,92,1273,584,207,883,820,48,2931,668,633,413,300
2005,Zuzug,Reinickendorf,3259,121,82,275,33,388,164,55,180,230,7,1332,120,111,119,42
2005,Zuzug,Spandau,3534,141,87,316,31,330,96,59,221,244,21,1542,137,132,124,53
2005,Zuzug,Steglitz-Zehlendorf,5329,243,175,379,62,701,341,141,475,504,38,1661,162,211,148,88
2005,Zuzug,Tempelhof-Schöneberg,6747,173,184,2018,54,765,342,147,415,549,38,1424,174,231,144,89
2005,Zuzug,Treptow-Köpenick,4542,88,80,254,27,339,157,83,229,245,15,2111,288,279,217,130
2006,Fortzug,Charlottenburg-Wilmersdorf,6455,257,379,603,68,882,459,145,603,821,37,1659,184,174,114,70
2006,Fortzug,Friedrichshain-Kreuzberg,6710,233,433,509,108,889,412,171,726,750,41,1599,246,335,157,101
2006,Fortzug,Lichtenberg,6279,186,150,310,34,402,214,115,308,430,17,3214,356,274,147,122
2006,Fortzug,Marzahn-Hellersdorf,5761,131,107,283,23,342,129,92,258,343,18,3275,308,242,135,75
2006,Fortzug,Mitte,8531,277,442,704,91,1212,536,205,822,1010,63,2124,301,392,225,127
2006,Fortzug,Neukölln,5372,237,205,451,63,599,300,132,471,610,17,1780,147,212,87,61
2006,Fortzug,Pankow,9672,246,417,491,68,875,406,164,711,804,27,4072,497,502,229,163
2006,Fortzug,Reinickendorf,4881,185,121,333,26,454,205,65,285,439,16,2438,127,77,72,38
2006,Fortzug,Spandau,4432,151,93,342,25,377,147,97,220,375,10,2229,129,116,82,39
2006,Fortzug,Steglitz-Zehlendorf,6348,262,259,499,45,636,322,137,548,696,18,2492,145,136,110,43
2006,Fortzug,Tempelhof-Schöneberg,6210,234,251,514,64,765,326,157,529,683,32,2192,138,164,96,65
2006,Fortzug,Treptow-Köpenick,5024,114,109,229,38,313,155,52,258,320,18,2690,225,243,140,120
2006,Zuzug,Charlottenburg-Wilmersdorf,6888,270,305,608,87,1196,506,141,656,808,47,1401,214,300,210,139
2006,Zuzug,Friedrichshain-Kreuzberg,9943,317,415,830,170,1497,649,257,983,983,57,1870,558,659,407,291
2006,Zuzug,Lichtenberg,5862,138,124,302,25,378,176,84,262,335,13,2455,592,440,351,187
2006,Zuzug,Marzahn-Hellersdorf,4604,111,62,218,13,310,105,64,193,216,9,2365,406,251,193,88
2006,Zuzug,Mitte,10690,306,473,886,116,1656,706,276,1014,1036,104,2213,553,658,440,253
2006,Zuzug,Neukölln,5117,177,174,552,55,701,273,138,433,512,19,1339,179,288,183,94
2006,Zuzug,Pankow,10662,299,508,719,96,1352,545,243,878,878,39,3027,678,667,443,290
2006,Zuzug,Reinickendorf,3569,148,70,242,22,430,171,65,269,299,11,1419,138,125,111,49
2006,Zuzug,Spandau,3867,141,113,345,38,351,134,60,184,274,10,1657,197,161,136,66
2006,Zuzug,Steglitz-Zehlendorf,5383,232,146,463,45,848,354,140,351,515,39,1550,175,240,186,99
2006,Zuzug,Tempelhof-Schöneberg,6143,165,205,898,66,848,392,156,522,578,44,1511,195,274,190,99
2006,Zuzug,Treptow-Köpenick,4902,118,69,257,26,348,217,64,256,249,11,2227,294,376,248,142
2007,Fortzug,Charlottenburg-Wilmersdorf,6438,246,333,573,54,896,422,171,680,838,26,1611,172,202,135,79
2007,Fortzug,Friedrichshain-Kreuzberg,6914,209,449,465,103,966,456,148,773,741,32,1638,268,351,194,121
2007,Fortzug,Lichtenberg,5785,156,153,316,24,393,172,125,335,366,21,2846,298,302,174,104
2007,Fortzug,Marzahn-Hellersdorf,5691,137,102,289,24,393,181,62,268,376,11,3074,282,221,168,103
2007,Fortzug,Mitte,8355,266,426,703,77,1373,585,152,780,994,42,1950,340,334,221,112
2007,Fortzug,Neukölln,5632,214,165,508,60,693,261,139,562,648,36,1869,153,156,117,51
2007,Fortzug,Pankow,9829,272,484,506,90,947,484,142,688,758,34,3936,517,542,239,190
2007,Fortzug,Reinickendorf,4700,149,117,283,45,417,172,110,338,422,21,2314,113,80,69,50
2007,Fortzug,Spandau,4500,205,112,312,28,371,136,91,276,360,17,2227,136,104,89,36
2007,Fortzug,Steglitz-Zehlendorf,5947,224,209,453,73,655,299,123,460,571,15,2357,133,189,114,72
2007,Fortzug,Tempelhof-Schöneberg,6230,232,256,474,69,775,381,138,514,707,26,2152,157,151,128,70
2007,Fortzug,Treptow-Köpenick,5127,134,98,247,30,358,192,94,270,343,7,2608,253,282,129,82
2007,Zuzug,Charlottenburg-Wilmersdorf,7274,278,335,650,82,1210,511,206,668,795,56,1483,250,364,239,147
2007,Zuzug,Friedrichshain-Kreuzberg,10276,283,512,869,155,1496,673,215,1054,1142,59,1878,582,685,394,279
2007,Zuzug,Lichtenberg,6013,117,108,389,37,414,189,96,245,335,21,2537,502,449,359,215
2007,Zuzug,Marzahn-Hellersdorf,4797,88,61,276,12,331,119,77,209,270,17,2325,351,272,262,127
2007,Zuzug,Mitte,11475,347,530,1003,124,1744,686,303,1102,1155,92,2330,603,639,545,272
2007,Zuzug,Neukölln,5737,198,188,536,79,791,335,180,472,610,47,1473,225,280,209,114
2007,Zuzug,Pankow,11399,304,466,728,105,1438,603,266,927,996,51,3214,737,801,445,318
2007,Zuzug,Reinickendorf,3799,144,95,310,30,470,177,73,262,312,19,1462,156,137,96,56
2007,Zuzug,Spandau,4159,168,80,298,23,434,163,107,192,320,10,1773,189,173,155,74
2007,Zuzug,Steglitz-Zehlendorf,5882,212,178,515,77,791,431,167,478,581,21,1670,201,279,167,114
2007,Zuzug,Tempelhof-Schöneberg,6387,240,219,807,80,972,374,166,555,582,22,1559,217,273,196,125
2007,Zuzug,Treptow-Köpenick,5327,89,98,256,30,450,185,94,277,293,15,2369,325,419,263,164
2008,Fortzug,Charlottenburg-Wilmersdorf,5939,241,315,448,48,880,430,118,559,740,36,1610,142,183,119,70
2008,Fortzug,Friedrichshain-Kreuzberg,7015,223,433,474,94,879,495,144,779,809,50,1689,269,389,157,131
2008,Fortzug,Lichtenberg,6141,143,136,314,30,493,218,77,361,382,21,2927,341,354,210,134
2008,Fortzug,Marzahn-Hellersdorf,5617,159,116,274,31,401,139,78,307,339,18,3008,282,231,142,92
2008,Fortzug,Mitte,8288,293,465,686,104,1181,602,184,801,1001,70,1791,280,382,267,181
2008,Fortzug,Neukölln,5413,212,188,450,42,759,269,136,513,617,46,1661,132,221,102,65
2008,Fortzug,Pankow,9542,254,501,571,82,872,439,180,729,788,32,3721,464,468,245,196
2008,Fortzug,Reinickendorf,4583,186,109,307,42,500,185,56,275,381,17,2190,135,104,66,30
2008,Fortzug,Spandau,4324,205,55,317,23,462,144,70,247,338,11,2072,127,99,101,53
2008,Fortzug,Steglitz-Zehlendorf,6081,256,227,471,50,672,313,123,488,541,34,2415,155,177,93,66
2008,Fortzug,Tempelhof-Schöneberg,5797,210,237,457,58,694,351,103,523,625,34,1979,161,191,111,63
2008,Fortzug,Treptow-Köpenick,5205,146,127,259,34,320,162,66,321,313,9,2692,229,281,176,70
2008,Zuzug,Charlottenburg-Wilmersdorf,7635,273,369,708,104,1316,498,210,743,787,44,1531,309,363,239,141
2008,Zuzug,Friedrichshain-Kreuzberg,10433,298,512,827,159,1610,676,304,1155,1077,82,1828,522,690,404,289
2008,Zuzug,Lichtenberg,6745,150,134,403,35,465,236,104,376,405,29,2715,538,543,422,190
2008,Zuzug,Marzahn-Hellersdorf,4897,141,67,254,23,314,123,91,209,258,18,2374,347,309,246,123
2008,Zuzug,Mitte,11825,364,542,978,133,1785,735,322,1184,1192,87,2291,581,742,542,347
2008,Zuzug,Neukölln,6400,191,262,550,85,942,356,175,599,664,43,1540,244,381,231,137
2008,Zuzug,Pankow,11842,328,545,737,112,1535,675,270,930,1017,51,3243,730,777,541,351
2008,Zuzug,Reinickendorf,4002,157,120,328,57,485,186,117,234,384,25,1392,152,169,144,52
2008,Zuzug,Spandau,4199,161,92,371,26,442,145,59,208,332,17,1705,219,176,162,84
2008,Zuzug,Steglitz-Zehlendorf,6310,259,218,528,65,930,379,155,569,600,29,1794,222,268,188,106
2008,Zuzug,Tempelhof-Schöneberg,6872,229,247,801,89,1040,372,176,658,694,39,1580,265,330,216,136
2008,Zuzug,Treptow-Köpenick,5743,139,104,331,23,475,198,127,269,358,18,2465,328,464,294,150
2009,Fortzug,Charlottenburg-Wilmersdorf,6053,277,315,509,65,852,421,128,516,797,32,1551,151,222,127,90
2009,Fortzug,Friedrichshain-Kreuzberg,6635,193,399,531,95,885,409,155,625,780,25,1620,251,357,192,118
2009,Fortzug,Lichtenberg,5846,137,144,293,36,393,201,87,365,401,16,2710,349,350,240,124
2009,Fortzug,Marzahn-Hellersdorf,5147,123,91,272,24,342,128,82,252,273,12,2767,282,247,164,88
2009,Fortzug,Mitte,8116,250,472,653,82,1141,588,196,748,926,38,1860,354,368,274,166
2009,Fortzug,Neukölln,5303,231,201,461,54,722,290,95,456,551,25,1628,152,204,156,77
2009,Fortzug,Pankow,9250,273,415,539,100,925,445,152,611,784,45,3528,434,481,260,258
2009,Fortzug,Reinickendorf,4359,166,105,355,17,387,184,86,271,327,13,2108,133,94,74,39
2009,Fortzug,Spandau,4315,202,97,334,43,394,151,71,256,299,24,2090,111,104,100,39
2009,Fortzug,Steglitz-Zehlendorf,5940,243,214,463,60,638,287,113,427,560,23,2345,182,193,111,81
2009,Fortzug,Tempelhof-Schöneberg,5812,232,207,469,70,767,312,117,542,547,26,1934,184,200,127,78
2009,Fortzug,Treptow-Köpenick,5417,152,108,252,25,318,160,87,272,325,6,2980,255,251,139,87
2009,Zuzug,Charlottenburg-Wilmersdorf,8154,318,394,684,122,1406,550,171,785,970,57,1635,305,357,251,149
2009,Zuzug,Friedrichshain-Kreuzberg,10806,273,565,917,171,1642,693,332,1188,1190,80,1797,576,707,398,277
2009,Zuzug,Lichtenberg,6850,150,122,395,36,588,266,119,356,383,26,2621,528,582,435,243
2009,Zuzug,Marzahn-Hellersdorf,5230,102,55,303,26,394,160,68,255,243,14,2528,379,302,270,131
2009,Zuzug,Mitte,12819,405,596,1144,183,1926,809,404,1348,1294,77,2317,632,798,540,346
2009,Zuzug,Neukölln,7009,228,283,664,126,1004,433,217,730,773,46,1481,233,398,249,144
2009,Zuzug,Pankow,11587,280,531,748,116,1540,658,257,970,1030,49,3105,744,800,438,321
2009,Zuzug,Reinickendorf,3963,135,103,325,33,433,200,88,318,358,14,1398,192,162,148,56
2009,Zuzug,Spandau,4615,191,81,368,41,455,208,95,269,299,20,1888,214,200,213,73
2009,Zuzug,Steglitz-Zehlendorf,6592,247,222,579,79,960,424,171,574,632,37,1839,191,300,219,118
2009,Zuzug,Tempelhof-Schöneberg,7115,222,298,746,83,1068,411,148,652,618,62,1781,288,379,239,120
2009,Zuzug,Treptow-Köpenick,5806,154,134,302,28,420,230,92,322,368,11,2540,342,455,249,159
2010,Fortzug,Charlottenburg-Wilmersdorf,5796,255,328,512,77,842,432,143,501,679,35,1399,176,207,125,85
2010,Fortzug,Friedrichshain-Kreuzberg,6411,210,375,407,82,880,396,149,676,730,37,1506,266,388,180,129
2010,Fortzug,Lichtenberg,5645,135,145,305,22,433,181,74,298,374,26,2564,370,366,218,134
2010,Fortzug,Marzahn-Hellersdorf,5335,133,90,267,27,416,132,77,225,282,23,2815,299,256,179,114
2010,Fortzug,Mitte,8026,270,421,688,105,1160,577,207,782,823,60,1790,290,395,281,177
2010,Fortzug,Neukölln,5074,199,182,411,62,643,290,113,435,576,29,1559,166,220,113,76
2010,Fortzug,Pankow,9088,248,440,536,86,870,474,159,627,729,20,3537,473,460,231,198
2010,Fortzug,Reinickendorf,4123,173,111,288,38,398,193,74,228,302,16,1922,125,118,90,47
2010,Fortzug,Spandau,4165,207,82,335,33,419,140,41,228,301,20,1956,130,128,94,51
2010,Fortzug,Steglitz-Zehlendorf,5672,287,234,420,50,559,242,104,468,594,17,2182,130,183,111,91
2010,Fortzug,Tempelhof-Schöneberg,5589,229,271,444,65,684,337,105,501,553,20,1817,147,205,126,85
2010,Fortzug,Treptow-Köpenick,5244,131,115,275,27,327,150,85,252,299,10,2806,230,269,162,106
2010,Zuzug,Charlottenburg-Wilmersdorf,7826,293,415,622,111,1243,583,213,794,873,62,1565,301,363,223,165
2010,Zuzug,Friedrichshain-Kreuzberg,10203,278,569,865,181,1550,723,297,1060,1167,84,1650,467,705,341,266
2010,Zuzug,Lichtenberg,6504,148,107,416,43,481,225,123,354,381,27,2509,553,519,416,202
2010,Zuzug,Marzahn-Hellersdorf,5316,135,90,253,22,345,150,93,221,261,24,2611,360,359,235,157
2010,Zuzug,Mitte,12409,457,561,1057,181,1871,801,314,1244,1297,98,2302,592,786,544,304
2010,Zuzug,Neukölln,6833,230,286,591,130,1027,453,227,699,765,42,1429,219,401,188,146
2010,Zuzug,Pankow,11742,326,597,787,113,1569,764,295,940,1087,73,2986,654,798,423,330
2010,Zuzug,Reinickendorf,4074,156,98,307,55,507,190,100,301,381,11,1422,168,171,135,72
2010,Zuzug,Spandau,4646,153,98,373,50,513,163,86,254,362,11,1849,225,229,193,87
2010,Zuzug,Steglitz-Zehlendorf,6147,214,244,494,73,862,357,165,567,599,35,1740,202,274,193,128
2010,Zuzug,Tempelhof-Schöneberg,6960,245,296,695,114,1050,444,180,598,694,27,1659,228,371,228,131
2010,Zuzug,Treptow-Köpenick,5498,172,109,301,32,442,194,77,259,329,10,2393,312,433,268,167
2011,Fortzug,Charlottenburg-Wilmersdorf,6240,221,318,527,77,927,427,110,586,829,35,1507,159,239,170,108
2011,Fortzug,Friedrichshain-Kreuzberg,6629,211,409,493,89,934,397,163,692,746,39,1449,298,379,189,141
2011,Fortzug,Lichtenberg,5721,146,124,327,34,415,173,84,349,371,24,2547,334,385,272,136
2011,Fortzug,Marzahn-Hellersdorf,5156,132,81,272,30,358,128,86,217,310,17,2698,264,269,187,107
2011,Fortzug,Mitte,8636,312,439,667,114,1247,595,244,895,992,46,1848,337,415,338,147
2011,Fortzug,Neukölln,5437,165,211,444,53,721,341,120,468,648,42,1610,149,236,165,64
2011,Fortzug,Pankow,9301,263,391,573,86,874,444,141,625,830,34,3496,554,574,232,184
2011,Fortzug,Reinickendorf,4397,196,81,319,40,427,185,78,263,345,13,1960,171,150,99,70
2011,Fortzug,Spandau,4580,130,87,356,26,438,198,83,239,358,5,2158,170,149,112,71
2011,Fortzug,Steglitz-Zehlendorf,6165,269,217,494,46,697,303,127,448,588,20,2324,164,243,151,74
2011,Fortzug,Tempelhof-Schöneberg,5979,235,225,525,89,713,349,148,516,613,21,1894,169,228,151,103
2011,Fortzug,Treptow-Köpenick,5346,127,85,304,40,357,163,59,233,330,11,2798,248,316,177,98
2011,Zuzug,Charlottenburg-Wilmersdorf,7886,284,423,769,98,1330,588,209,736,913,44,1426,263,415,239,149
2011,Zuzug,Friedrichshain-Kreuzberg,10242,286,580,865,174,1613,764,303,1164,1158,78,1499,409,678,362,309
2011,Zuzug,Lichtenberg,6356,145,152,383,39,532,185,102,389,343,36,2496,484,499,364,207
2011,Zuzug,Marzahn-Hellersdorf,5285,120,87,258,14,358,121,87,239,273,27,2604,388,301,248,160
2011,Zuzug,Mitte,12455,414,546,1102,141,1953,866,353,1292,1368,85,2251,542,728,486,328
2011,Zuzug,Neukölln,6954,251,343,586,96,1009,435,169,747,788,60,1417,211,443,220,179
2011,Zuzug,Pankow,11235,325,590,732,156,1544,636,245,985,1087,60,2699,640,829,431,276
2011,Zuzug,Reinickendorf,4373,170,106,364,42,512,212,81,299,352,25,1546,218,201,162,83
2011,Zuzug,Spandau,4819,198,117,460,45,470,180,84,251,342,27,1936,193,233,206,77
2011,Zuzug,Steglitz-Zehlendorf,6221,207,242,531,71,774,434,137,579,670,31,1777,182,295,175,116
2011,Zuzug,Tempelhof-Schöneberg,7241,232,297,619,102,1113,477,178,685,702,39,1728,280,417,235,137
2011,Zuzug,Treptow-Köpenick,5861,156,150,361,57,487,222,71,303,342,14,2465,336,465,269,163
2012,Fortzug,Charlottenburg-Wilmersdorf,6249,285,308,513,53,902,375,157,631,842,42,1423,194,273,154,97
2012,Fortzug,Friedrichshain-Kreuzberg,6555,226,364,524,119,854,436,164,739,719,19,1424,249,404,195,119
