Jahr,Art,Bezirk,Deutschland,Schleswig-Holstein,Hamburg,Niedersachsen,Bremen,Nordrhein-Westfalen,Hessen,Rheinland-Pfalz,Baden-Württemberg,Bayern,Saarland,Brandenburg,Mecklenburg-Vorpommern,Sachsen,Sachsen-Anhalt,Thüringen
1993,Fortzug,Lichtenberg,5257,126,65,541,18,550,212,130,341,338,14,1688,261,475,262,236
1993,Fortzug,Marzahn-Hellersdorf,5568,170,56,479,13,577,179,108,363,404,9,1887,393,455,253,222
1993,Fortzug,Mitte,6821,373,241,899,78,863,554,253,634,750,43,1424,184,272,163,90
1993,Fortzug,Neukölln,4714,315,171,844,60,653,318,152,434,551,33,946,59,94,50,34
1993,Fortzug,Pankow,4493,131,68,302,23,298,162,107,196,308,29,1836,354,304,188,187
1993,Fortzug,Reinickendorf,3610,296,132,612,26,416,149,110,247,440,12,990,69,46,44,21
1993,Fortzug,Spandau,3141,283,106,493,37,370,172,141,189,376,13,780,35,65,63,18
1993,Fortzug,Steglitz-Zehlendorf,5179,361,296,775,34,749,359,157,559,544,45,1060,68,91,52,29
1993,Fortzug,Tempelhof-Schöneberg,5790,385,261,942,75,847,489,176,607,739,34,989,67,84,63,32
1993,Fortzug,Treptow-Köpenick,2681,82,38,230,12,235,103,66,156,191,12,976,156,232,93,99
1993,Zuzug,Charlottenburg-Wilmersdorf,5420,288,256,636,83,1106,548,188,696,720,73,515,80,98,104,29
1993,Zuzug,Friedrichshain-Kreuzberg,5297,199,199,536,73,815,305,128,616,531,50,930,274,304,169,168
1993,Zuzug,Lichtenberg,3827,82,59,185,18,309,140,52,251,247,21,1175,344,486,287,171
1993,Zuzug,Marzahn-Hellersdorf,3376,58,36,161,6,202,91,29,160,156,23,1335,397,382,184,156
1993,Zuzug,Mitte,6096,257,235,745,83,1020,408,194,701,667,68,910,258,241,192,117
1993,Zuzug,Neukölln,3986,164,131,519,72,704,280,122,540,482,32,632,69,98,93,48
1993,Zuzug,Pankow,5467,136,121,324,25,471,202,124,432,388,25,1588,570,485,324,252
1993,Zuzug,Reinickendorf,2703,178,97,362,39,504,184,78,269,297,18,440,77,74,64,22
1993,Zuzug,Spandau,2752,155,70,376,28,347,142,103,222,291,16,728,93,80,59,42
1993,Zuzug,Steglitz-Zehlendorf,4716,231,219,553,74,904,418,158,627,611,38,572,71,115,94,31
1993,Zuzug,Tempelhof-Schöneberg,4982,279,220,623,64,917,463,138,570,680,51,628,99,122,93,35
1993,Zuzug,Treptow-Köpenick,2552,53,44,139,10,200,92,38,174,161,10,913,237,226,148,107
1994,Fortzug,Charlottenburg-Wilmersdorf,6069,426,323,817,74,924,377,142,621,797,33,1201,74,141,69,50
1994,Fortzug,Friedrichshain-Kreuzberg,5178,255,188,575,75,593,229,139,450,527,36,1460,159,228,149,115
1994,Fortzug,Lichtenberg,5501,148,49,354,14,361,181,100,325,301,9,2496,264,450,244,205
1994,Fortzug,Marzahn-Hellersdorf,6079,159,72,369,20,371,189,66,258,323,10,2887,412,395,315,233
1994,Fortzug,Mitte,7070,340,246,780,87,803,605,207,627,709,43,1950,167,282,138,86
1994,Fortzug,Neukölln,4750,284,171,672,68,614,267,119,423,501,28,1305,77,94,87,40
1994,Fortzug,Pankow,5346,139,107,306,25,358,146,63,208,264,15,2539,385,377,239,175
