Jahr,Kontinent,Art,Mitte,Friedrichshain-Kreuzberg,Pankow,Charlottenburg-Wilmersdorf,Spandau,Steglitz-Zehlendorf,Tempelhof-Schöneberg,Neukölln,Treptow-Köpenick,Marzahn-Hellersdorf,Lichtenberg,Reinickendorf
2003,Asien,Fortzug,1142,364,276,669,262,410,414,327,206,175,302,162
2003,Australien u.Ozeanien,Fortzug,58,50,51,37,11,34,45,23,10,7,13,22
2003,Europa,Fortzug,5618,2116,1656,2790,1231,1489,2083,2251,727,641,1934,976
2003,Mittelamerika,Fortzug,23,24,11,21,8,13,18,11,6,5,12,14
2003,Nordamerika,Fortzug,294,197,277,399,73,444,255,104,45,27,53,85
2003,Südamerika,Fortzug,91,89,48,131,17,65,62,31,15,7,9,38
2003,Übriges Amerika,Fortzug,1,1,0,1,0,0,0,0,0,0,0,0
2003,Unbekanntes Ausland,Fortzug,121,50,26,57,21,50,57,97,56,7,27,17
2004,Afrika,Fortzug,313,158,76,178,67,87,142,156,34,24,101,76
2004,Amerika,Fortzug,512,311,405,638,77,473,364,183,76,55,100,113
2004,Asien,Fortzug,967,382,287,706,253,390,403,275,161,140,276,163
2004,Australien u.Ozeanien,Fortzug,40,52,47,58,15,35,49,20,9,7,15,12
2004,Europa,Fortzug,3727,2156,1728,2853,1068,1531,2006,2310,627,577,1530,1044
2004,Mittelamerika,Fortzug,28,28,22,20,8,23,21,13,2,6,6,5
2004,Nordamerika,Fortzug,367,220,319,497,57,409,287,122,59,33,88,75
2004,Südamerika,Fortzug,117,63,64,119,12,41,56,48,15,16,6,33
2004,Übriges Amerika,Fortzug,0,0,0,2,0,0,0,0,0,0,0,0
2004,Unbekanntes Ausland,Fortzug,103,68,33,66,40,31,72,71,66,21,19,16
2005,Afrika,Fortzug,248,116,87,163,59,90,102,82,27,22,68,48
2005,Amerika,Fortzug,456,382,326,514,87,495,333,148,67,42,76,124
2005,Asien,Fortzug,876,375,254,692,234,370,408,230,162,134,214,140
2005,Australien u.Ozeanien,Fortzug,42,56,58,81,5,40,39,21,16,5,7,11
2005,Europa,Fortzug,3253,2092,1534,2366,954,1365,1754,1953,587,492,1764,883
2005,Mittelamerika,Fortzug,17,20,23,29,14,17,23,10,5,4,3,4
2005,Nordamerika,Fortzug,356,282,241,383,50,421,266,100,55,27,55,97
2005,Südamerika,Fortzug,82,80,62,100,23,57,44,38,7,11,18,23
2005,Übriges Amerika,Fortzug,1,0,0,2,0,0,0,0,0,0,0,0
2005,Unbekanntes Ausland,Fortzug,70,54,15,56,42,25,39,51,37,14,11,20
2006,Afrika,Fortzug,222,134,58,157,65,108,87,91,38,15,84,55
2006,Amerika,Fortzug,592,409,434,540,86,588,340,183,45,68,93,133
2006,Asien,Fortzug,830,459,251,671,272,414,340,263,201,117,290,124
2006,Australien u.Ozeanien,Fortzug,55,65,73,60,14,45,57,36,17,12,11,24
2006,Europa,Fortzug,3571,2465,1985,2456,918,1475,1813,2390,1020,618,2217,1689
2006,Mittelamerika,Fortzug,32,21,13,27,7,11,15,12,4,8,6,11
2006,Nordamerika,Fortzug,404,293,361,426,62,510,258,128,33,53,70,92
2006,Südamerika,Fortzug,156,95,59,87,16,67,67,37,8,7,17,30
2006,Übriges Amerika,Fortzug,0,0,1,0,1,0,0,6,0,0,0,0
2006,Unbekanntes Ausland,Fortzug,98,57,30,45,55,23,51,56,135,6,24,16
2007,Afrika,Fortzug,241,145,56,164,80,112,130,121,18,11,87,70
2007,Amerika,Fortzug,810,471,462,633,95,615,313,197,72,58,111,125
2007,Asien,Fortzug,901,418,318,713,415,443,332,260,212,104,301,151
2007,Australien u.Ozeanien,Fortzug,95,81,66,67,26,52,53,36,23,11,24,34
2007,Europa,Fortzug,6477,3702,1984,2621,1645,1529,1925,2653,1138,607,3406,1334
2007,Mittelamerika,Fortzug,39,39,24,26,9,33,24,12,4,6,9,13
2007,Nordamerika,Fortzug,646,324,366,477,73,514,235,146,48,41,80,92
2007,Südamerika,Fortzug,124,108,72,130,13,67,54,39,20,11,22,20
2007,Übriges Amerika,Fortzug,1,0,0,0,0,1,0,0,0,0,0,0
2007,Unbekanntes Ausland,Fortzug,92,52,22,39,37,28,20,52,60,7,26,14
2008,Afrika,Fortzug,385,109,95,130,75,102,98,94,46,50,181,99
2008,Amerika,Fortzug,888,520,663,648,91,559,373,197,158,97,203,195
2008,Asien,Fortzug,1395,498,435,740,340,526,387,288,351,175,571,262
2008,Australien u.Ozeanien,Fortzug,86,97,108,67,31,53,58,38,20,22,29,32
2008,Europa,Fortzug,7159,3487,3402,2643,867,1602,1954,2921,1326,990,2059,1417
2008,Mittelamerika,Fortzug,31,22,27,21,16,14,10,11,14,16,38,11
2008,Nordamerika,Fortzug,680,388,530,504,66,480,286,144,116,62,140,147
2008,Südamerika,Fortzug,177,110,106,123,9,65,77,42,28,19,25,37
2008,Übriges Amerika,Fortzug,0,0,0,0,0,0,0,0,0,0,0,0
2008,Unbekanntes Ausland,Fortzug,213,63,79,33,33,20,28,53,132,42,153,48
2009,Afrika,Fortzug,416,376,212,163,138,110,156,177,38,59,223,81
2009,Amerika,Fortzug,1033,1191,1243,733,188,827,445,336,120,149,278,212
2009,Asien,Fortzug,1610,1123,822,881,558,721,515,647,292,390,777,266
2009,Australien u.Ozeanien,Fortzug,113,195,210,75,25,78,58,58,44,14,25,18
2009,Europa,Fortzug,6056,6724,7187,2831,1787,1738,2516,4912,1037,1655,3087,1725
2009,Mittelamerika,Fortzug,46,53,62,28,18,17,17,14,13,34,41,16
2009,Nordamerika,Fortzug,792,914,988,552,132,735,341,245,85,92,203,149
2009,Südamerika,Fortzug,195,224,192,153,38,75,83,76,22,22,34,45
2009,Übriges Amerika,Fortzug,0,0,1,0,0,0,4,1,0,1,0,2
2009,Unbekanntes Ausland,Fortzug,325,234,201,40,86,26,44,160,48,54,192,58
2010,Afrika,Fortzug,601,189,111,250,59,187,171,317,35,19,95,111
2010,Amerika,Fortzug,1413,943,517,1009,94,926,607,521,88,53,134,192
2010,Asien,Fortzug,2316,698,398,1387,243,844,643,869,215,144,421,325
2010,Australien u.Ozeanien,Fortzug,160,180,112,104,21,63,77,90,32,14,24,42
2010,Europa,Fortzug,10088,5528,2491,3928,1139,2241,3139,7482,793,841,2132,1727
2010,Mittelamerika,Fortzug,85,51,19,33,8,23,20,18,7,3,13,14
2010,Nordamerika,Fortzug,1045,709,407,790,66,785,477,384,67,33,84,125
2010,Südamerika,Fortzug,283,183,91,185,20,118,106,119,14,17,37,53
2010,Übriges Amerika,Fortzug,0,0,0,1,0,0,4,0,0,0,0,0
2010,Unbekanntes Ausland,Fortzug,339,156,42,155,26,47,56,276,25,9,26,33
2011,Afrika,Fortzug,268,139,87,188,83,135,161,116,29,29,89,73
2011,Amerika,Fortzug,910,761,618,905,103,772,735,283,79,50,105,124
2011,Asien,Fortzug,1183,539,359,1003,313,718,813,279,218,161,404,174
2011,Australien u.Ozeanien,Fortzug,106,148,90,91,25,71,86,60,22,14,32,20
2011,Europa,Fortzug,6081,3616,2183,3558,1387,1754,5046,3186,775,894,1767,1376
2011,Mittelamerika,Fortzug,30,30,16,45,3,16,23,22,0,2,4,9
2011,Nordamerika,Fortzug,653,562,465,696,83,669,561,199,44,34,77,94
2011,Südamerika,Fortzug,225,169,137,162,17,86,151,62,35,14,24,21
2011,Übriges Amerika,Fortzug,2,0,0,2,0,1,0,0,0,0,0,0
2011,Unbekanntes Ausland,Fortzug,68,39,23,69,13,24,111,40,19,11,28,17
2012,Afrika,Fortzug,342,133,98,203,78,168,232,140,40,34,107,92
2012,Amerika,Fortzug,868,687,622,726,91,608,867,348,96,76,128,163
2012,Asien,Fortzug,1235,591,404,926,252,847,756,382,225,173,500,158
2012,Australien u.Ozeanien,Fortzug,106,190,112,90,6,41,77,67,15,23,32,16
2012,Europa,Fortzug,6190,3531,2504,3098,1483,1965,5265,3635,972,904,1887,1809
2012,Mittelamerika,Fortzug,31,24,19,27,3,14,27,19,3,7,9,13
2012,Nordamerika,Fortzug,589,465,467,514,60,514,659,239,65,46,84,119
2012,Südamerika,Fortzug,248,197,134,185,24,79,178,88,28,23,35,31
2012,Übriges Amerika,Fortzug,0,1,2,0,4,1,3,2,0,0,0,0
2012,Unbekanntes Ausland,Fortzug,82,29,16,51,16,31,129,41,27,20,28,30
2013,Afrika,Fortzug,626,211,122,346,83,179,225,258,35,38,131,120
2013,Amerika,Fortzug,898,964,718,813,74,737,563,414,119,79,184,165
2013,Asien,Fortzug,1384,648,456,1030,279,806,498,500,227,218,587,265
2013,Australien u.Ozeanien,Fortzug,128,182,139,68,15,43,61,95,36,24,46,16
2013,Europa,Fortzug,6332,3811,3110,3710,1752,1950,3167,4202,1098,895,2263,2094
2013,Mittelamerika,Fortzug,32,24,28,27,4,25,13,9,2,7,11,12
2013,Nordamerika,Fortzug,631,705,514,591,46,608,427,322,93,47,104,91
2013,Südamerika,Fortzug,234,234,176,194,24,104,123,83,24,25,69,60
2013,Übriges Amerika,Fortzug,1,1,0,1,0,0,0,0,0,0,0,2
2013,Unbekanntes Ausland,Fortzug,71,24,16,38,26,27,40,48,9,31,15,19
